,neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,brain_region,cell_type,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,upload_date,deposition_date,shrinkage_reported,shrinkage_corrected,reported_value,reported_xy,reported_z,corrected_value,corrected_xy,corrected_z,soma_surface,surface,volume,slicing_thickness,min_age,max_age,min_weight,max_weight,png_url,reference_pmid,reference_doi,physical_Integrity,_links.self.href,_links.measurements.href,_links.persistence_vector.href
604,85255,AA0299,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['thalamus', 'Ventral anterior-lateral complex of the thalamus']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.2269,315213.0,157606.0,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0299.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85255,http://neuromorpho.org/api/morphometry/id/85255,http://neuromorpho.org/api/pvec/id/85255
605,85080,AA0064,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['neocortex', 'frontal', 'primary motor', 'layer 5']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.4439,768412.0,205368.0,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0064.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85080,http://neuromorpho.org/api/morphometry/id/85080,http://neuromorpho.org/api/pvec/id/85080
606,85007,AA0294,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['thalamus', 'Central lateral nucleus of the thalamus']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,12.2133,86570.4,43285.2,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0294.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85007,http://neuromorpho.org/api/morphometry/id/85007,http://neuromorpho.org/api/pvec/id/85007
607,121848,AA0498,MouseLight,,Month,Female,adult,['subiculum'],"['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.3292,22329.9,1395.62,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0498.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/121848,http://neuromorpho.org/api/morphometry/id/121848,http://neuromorpho.org/api/pvec/id/121848
608,121968,AA0384,MouseLight,,Month,Female,adult,"['neocortex', 'presubiculum']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.3407,18927.8,1182.99,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0384.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/121968,http://neuromorpho.org/api/morphometry/id/121968,http://neuromorpho.org/api/pvec/id/121968
609,122100,AA0937,MouseLight,,Month,Female,adult,"['hypothalamus', 'Posterior hypothalamic nucleus', 'mammilary body', 'mammillothalamic tract']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.4432,7364.93,460.308,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0937.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/122100,http://neuromorpho.org/api/morphometry/id/122100,http://neuromorpho.org/api/pvec/id/122100
610,122101,AA0880,MouseLight,,Month,Female,adult,"['neocortex', 'frontal', 'secondary motor']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.3266,27023.8,1688.99,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0880.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/122101,http://neuromorpho.org/api/morphometry/id/122101,http://neuromorpho.org/api/pvec/id/122101
611,121633,AA0842,MouseLight,,Month,Female,adult,"['neocortex', 'frontal', 'secondary motor', 'layer 5']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.3656,205969.0,12873.1,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0842.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/121633,http://neuromorpho.org/api/morphometry/id/121633,http://neuromorpho.org/api/pvec/id/121633
612,122077,AA0739,MouseLight,,Month,Female,adult,"['neocortex', 'frontal', 'primary motor', 'layer 6a']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.2787,104743.0,6546.43,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0739.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/122077,http://neuromorpho.org/api/morphometry/id/122077,http://neuromorpho.org/api/pvec/id/122077
613,85231,AA0025,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['subiculum', 'dorsal']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,11.9651,210157.0,54131.4,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0025.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85231,http://neuromorpho.org/api/morphometry/id/85231,http://neuromorpho.org/api/pvec/id/85231
614,121604,AA0530,MouseLight,,Month,Female,adult,"['thalamus', 'Anteroventral nucleus']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.4217,32403.1,2025.2,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0530.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/121604,http://neuromorpho.org/api/morphometry/id/121604,http://neuromorpho.org/api/pvec/id/121604
615,85009,AA0050,MouseLight,"imaged at ~0.3 x 0.3 x 1 micron resolution with physical overlap in x, y, and z between imaged volumes",Month,Female,adult,"['thalamus', 'Central medial nucleus of the thalamus']","['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",40,2018-04-16,2017-11-03,Not Reported,,,,,,,,11.8956,410422.0,111961.0,25,6.0,6.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0050.png,['27862192'],['10.1002/jnr.23978'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/85009,http://neuromorpho.org/api/morphometry/id/85009,http://neuromorpho.org/api/pvec/id/85009
616,122168,AA0638,MouseLight,,Month,Female,adult,['corpus callosum'],"['principal cell', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.405,62064.6,3879.03,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0638.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/122168,http://neuromorpho.org/api/morphometry/id/122168,http://neuromorpho.org/api/pvec/id/122168
617,260065,AA1012,MouseLight,,Month,Female,adult,"['cerebellum', 'vermis', 'simple lobule']","['principal cell', 'Purkinje', 'projection']",mouse,C56BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2023-05-04,2020-04-20,Not reported,,,,,,,,12.3134,53742.9,26871.4,25,2.0,2.0,25.0,25.0,,['30859571'],['10.1101/537233'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/260065,http://neuromorpho.org/api/morphometry/id/260065,http://neuromorpho.org/api/pvec/id/260065
618,122009,AA0414,MouseLight,,Month,Female,adult,"['neocortex', 'presubiculum']","['principal cell', 'pyramidal', 'projection']",mouse,C57BL/6,,enhanced green fluorescent protein,['Control'],in vivo,coronal,Janelia Workstation-Large Volume Viewer,oil,Janelia Workstation-Large Volume Viewer.swc,"Dendrites, Soma, Axon","No Diameter, 3D, Angles",40,2019-12-13,2019-10-02,,,,,,,,,12.3278,41306.1,2581.63,25,2.0,2.0,25.0,25.0,http://neuromorpho.org/images/imageFiles/MouseLight/AA0414.png,['-8'],['10.2139/ssrn.3330557'],"Dendrites Moderate, Axon Complete",http://neuromorpho.org/api/neuron/id/122009,http://neuromorpho.org/api/morphometry/id/122009,http://neuromorpho.org/api/pvec/id/122009
